"Date","Price","Open","High","Low","Vol.","Change %"
"12/28/2021","9.2752","9.2781","9.2920","9.2604","37.21K","0.00%"
"12/27/2021","9.2756","9.2548","9.2921","9.2482","43.36K","0.20%"
"12/24/2021","9.2568","9.2552","9.2696","9.2427","52.33K","0.03%"
"12/23/2021","9.2538","9.2513","9.2774","9.2403","46.50K","0.04%"
"12/22/2021","9.2503","9.2729","9.2885","9.2411","57.48K","-0.20%"
"12/21/2021","9.2684","9.2800","9.2892","9.2593","44.13K","-0.09%"
"12/20/2021","9.2770","9.2845","9.2940","9.2601","58.99K","-0.18%"
"12/17/2021","9.2939","9.2475","9.3029","9.2360","42.00K","0.53%"
"12/16/2021","9.2450","9.2516","9.2700","9.2318","39.93K","-0.04%"
"12/15/2021","9.2483","9.2770","9.2972","9.2468","44.41K","-0.28%"
"12/14/2021","9.2740","9.2570","9.2804","9.2388","56.42K","0.15%"
"12/13/2021","9.2600","9.2474","9.2696","9.2382","41.67K","0.16%"
"12/10/2021","9.2449","9.2520","9.2689","9.2416","34.71K","-0.05%"
"12/09/2021","9.2499","9.2067","9.2626","9.1976","48.30K","0.48%"
"12/08/2021","9.2057","9.2340","9.2432","9.1955","57.02K","-0.28%"
"12/07/2021","9.2315","9.2103","9.2551","9.1976","39.92K","0.25%"
"12/06/2021","9.2085","9.2400","9.2483","9.1965","54.03K","-0.18%"
"12/03/2021","9.2255","9.2263","9.2527","9.2133","33.71K","0.03%"
"12/02/2021","9.2225","9.2268","9.2348","9.1962","29.31K","-0.03%"
"12/01/2021","9.2255","9.2432","9.2621","9.2048","26.69K","-0.16%"
"11/30/2021","9.2407","9.2514","9.2951","9.2094","53.27K","-0.13%"
"11/29/2021","9.2524","9.2407","9.2735","9.2353","32.95K","0.15%"
"11/26/2021","9.2381","9.2766","9.2787","9.2313","65.03K","-0.39%"
"11/25/2021","9.2741","9.2631","9.2787","9.2519","35.10K","0.15%"
"11/24/2021","9.2605","9.2340","9.2709","9.2300","57.33K","0.31%"
"11/23/2021","9.2315","9.2395","9.2457","9.2184","26.66K","-0.08%"
"11/22/2021","9.2390","9.2086","9.2437","9.2056","46.47K","0.36%"
"11/19/2021","9.2061","9.1993","9.2326","9.1685","20.24K","0.10%"
"11/18/2021","9.1968","9.1993","9.2023","9.1947","0.04K","0.06%"
"11/17/2021","9.1909","9.1930","9.2062","9.1770","45.83K","-0.01%"
"11/16/2021","9.1915","9.1694","9.1991","9.1483","44.37K","0.27%"
"11/15/2021","9.1670","9.1312","9.1759","9.1191","40.03K","0.51%"
"11/12/2021","9.1208","9.1237","9.1382","9.1164","63.84K","0.00%"
"11/11/2021","9.1207","9.1110","9.1299","9.0986","59.66K","0.13%"
"11/10/2021","9.1085","9.0546","9.1126","9.0504","60.80K","0.62%"
"11/09/2021","9.0520","9.0668","9.0708","9.0447","75.64K","-0.14%"
"11/08/2021","9.0643","9.0857","9.0890","9.0588","50.58K","-0.21%"
"11/05/2021","9.0832","9.0865","9.1081","9.0757","52.71K","-0.01%"
"11/04/2021","9.0845","9.0640","9.1048","9.0583","60.56K","0.25%"
"11/03/2021","9.0620","9.0787","9.0893","9.0624","78.22K","-0.16%"
"11/02/2021","9.0762","9.0666","9.0839","9.0578","96.00K","0.05%"
